fecha,coleccion,slug,floor_eth,floor_usd
2026-09-05,PitBoys,pitboys,0.0139146,34.49
2026-09-05,Bulls Runners Genesis,bulls-runners-genesis,0.0167288,41.47
2026-09-05,Yardkeepers,yardkeepers,0.3,743.66
2026-09-05,RH MACHINES,rhmachines,0.0378424999,93.81
2026-09-05,Robinhood Punks,robinhood-punks,0.005975699999,14.81
2026-09-05,Rekt Tradooor,rekt-tradooor,0.0468783999,116.2
2026-09-05,ukiyo,ukiyo-rh,0.0032833999,8.14
2026-09-05,The Suits,the-suits-nft,0.0045515,11.28
2026-09-05,Toadzers,toadzers,0.0007909,1.96
2026-09-05,urufu gemu,urufugemu,0.00814484,20.19
2026-09-05,DIVERGENTS,divergents,0.0009,2.23
2026-09-05,CyberLeek Genesis,cyberleek-genesis,0.000189999,0.47
2026-09-05,Black Label Birds,black-label-birds,0.0008352,2.07
2026-09-05,ROBO BROKERS,robo-brokers,0.0009256,2.29
2026-09-05,Sherwood Outlaws,sherwood-outlaws,0.0002899,0.72
2026-09-05,WIF Outlaws,wif-outlaws,0.1986916,492.53
2026-09-05,Internet Monkes,internetmonkes,0.01987086,49.26
2026-09-05,Hopium Machines,hopium-machines,0.001271281453999109,3.15
2026-09-05,Chain Mancers,chain-mancers,0.8095,2015.92
2026-09-05,OnChainHoodies,rh-onchainhoodies,0.02,49.81
2026-09-05,pyopyopyopyo,pyopyopyopyo-nft,0.03,74.71
2026-09-05,H00dle,h00dle,0.00319989,7.97
2026-09-05,Gremlin Cartel,gremlin-cartel,0.0062489,15.56
2026-09-05,Robinhood Kitties,robinhood-kitties,0.014,34.86
2026-09-05,PitBoys,pitboys,0.0136888,34.09
2026-09-05,Bulls Runners Genesis,bulls-runners-genesis,0.0166292946,41.41
2026-09-05,Yardkeepers,yardkeepers,0.437,1088.27
2026-09-05,RH MACHINES,rhmachines,0.0419917,104.57
2026-09-05,Robinhood Punks,robinhood-punks,0.005930399999,14.77
2026-09-05,Rekt Tradooor,rekt-tradooor,0.0459999,114.55
2026-09-05,ukiyo,ukiyo-rh,0.0032702,8.14
2026-09-05,The Suits,the-suits-nft,0.0042588,10.61
2026-09-05,Toadzers,toadzers,0.0007797,1.94
2026-09-05,urufu gemu,urufugemu,0.008143319998,20.28
2026-09-05,DIVERGENTS,divergents,0.0008999,2.24
2026-09-05,CyberLeek Genesis,cyberleek-genesis,0.000189999,0.47
2026-09-05,Black Label Birds,black-label-birds,0.0008353,2.08
2026-09-05,ROBO BROKERS,robo-brokers,0.0009077,2.26
2026-09-05,Sherwood Outlaws,sherwood-outlaws,0.0002899,0.72
2026-09-05,WIF Outlaws,wif-outlaws,0.1985533999,494.46
2026-09-05,Internet Monkes,internetmonkes,0.0211,52.55
2026-09-05,Hopium Machines,hopium-machines,0.0011,2.74
2026-09-05,Chain Mancers,chain-mancers,0.7981,1979.29
2026-09-05,OnChainHoodies,rh-onchainhoodies,0.02,49.6
2026-09-05,pyopyopyopyo,pyopyopyopyo-nft,0.03,74.4
2026-09-05,H00dle,h00dle,0.00319989,7.94
2026-09-05,Gremlin Cartel,gremlin-cartel,0.0062489,15.5
2026-09-05,Robinhood Kitties,robinhood-kitties,0.014,34.72
2026-09-05,PitBoys,pitboys,0.0143943999,35.7
2026-09-05,Bulls Runners Genesis,bulls-runners-genesis,0.016629278999,41.24
2026-09-05,Yardkeepers,yardkeepers,0.437,1083.76
2026-09-05,RH MACHINES,rhmachines,0.0419997,104.16
2026-09-05,Robinhood Punks,robinhood-punks,0.006499987799,16.12
2026-09-05,Rekt Tradooor,rekt-tradooor,0.0459995,114.08
2026-09-05,ukiyo,ukiyo-rh,0.0032571,8.08
2026-09-05,The Suits,the-suits-nft,0.0040437,10.03
2026-09-05,Toadzers,toadzers,0.0007945,1.97
2026-09-05,urufu gemu,urufugemu,0.008142019998999998,20.19
2026-09-05,DIVERGENTS,divergents,0.0011226,2.78
2026-09-05,CyberLeek Genesis,cyberleek-genesis,0.000189999,0.47
2026-09-05,Black Label Birds,black-label-birds,0.0008571,2.13
2026-09-05,ROBO BROKERS,robo-brokers,0.0009365,2.32
2026-09-05,Sherwood Outlaws,sherwood-outlaws,0.0002899,0.72
2026-09-05,WIF Outlaws,wif-outlaws,0.1988231,493.08
2026-09-05,Internet Monkes,internetmonkes,0.027,66.96
2026-09-05,Hopium Machines,hopium-machines,0.001083997897999995,2.69
2026-09-05,Chain Mancers,chain-mancers,0.7483,1857
2026-09-05,OnChainHoodies,rh-onchainhoodies,0.02,49.63
2026-09-05,pyopyopyopyo,pyopyopyopyo-nft,0.03,74.45
2026-09-05,H00dle,h00dle,0.0031999,7.94
2026-09-05,Gremlin Cartel,gremlin-cartel,0.0062489,15.51
2026-09-05,Robinhood Kitties,robinhood-kitties,0.014,34.74
2026-09-05,PitBoys,pitboys,0.0143943,35.72
2026-09-05,Bulls Runners Genesis,bulls-runners-genesis,0.0166292688,41.27
2026-09-05,Yardkeepers,yardkeepers,0.437,1084.47
2026-09-05,RH MACHINES,rhmachines,0.0418975,103.97
2026-09-05,Robinhood Punks,robinhood-punks,0.006499954999,16.13
2026-09-05,Rekt Tradooor,rekt-tradooor,0.0459991,114.15
2026-09-05,ukiyo,ukiyo-rh,0.0032448,8.05
2026-09-05,The Suits,the-suits-nft,0.0041585,10.32
2026-09-05,Toadzers,toadzers,0.0007809,1.94
2026-09-05,urufu gemu,urufugemu,0.008140759898,20.2
2026-09-05,DIVERGENTS,divergents,0.0011224,2.79
2026-09-05,CyberLeek Genesis,cyberleek-genesis,0.000189999,0.47
2026-09-05,Black Label Birds,black-label-birds,0.0008529,2.12
2026-09-05,ROBO BROKERS,robo-brokers,0.0009203,2.28
2026-09-05,Sherwood Outlaws,sherwood-outlaws,0.0002899,0.72
2026-09-05,WIF Outlaws,wif-outlaws,0.1988231,493.41
2026-09-05,Internet Monkes,internetmonkes,0.02602,64.57
2026-09-05,Hopium Machines,hopium-machines,0.000909847,2.26
2026-09-06,Chain Mancers,chain-mancers,0.7377,1836.82
2026-09-06,OnChainHoodies,rh-onchainhoodies,0.02,49.8
2026-09-06,pyopyopyopyo,pyopyopyopyo-nft,0.03,74.7
2026-09-06,H00dle,h00dle,0.0031999,7.97
2026-09-06,Gremlin Cartel,gremlin-cartel,0.0062489,15.56
2026-09-06,Robinhood Kitties,robinhood-kitties,0.014,34.86
2026-09-06,PitBoys,pitboys,0.0143943999,35.84
2026-09-06,Bulls Runners Genesis,bulls-runners-genesis,0.0166292517,41.41
2026-09-06,Yardkeepers,yardkeepers,0.437,1088.1
2026-09-06,RH MACHINES,rhmachines,0.0416083,103.6
2026-09-06,Robinhood Punks,robinhood-punks,0.006447799999,16.05
2026-09-06,Rekt Tradooor,rekt-tradooor,0.0459999,114.54
2026-09-06,ukiyo,ukiyo-rh,0.0032318,8.05
2026-09-06,The Suits,the-suits-nft,0.004047299999999998,10.08
2026-09-06,Toadzers,toadzers,0.0007959,1.98
2026-09-06,urufu gemu,urufugemu,0.00813902,20.27
2026-09-06,DIVERGENTS,divergents,0.0011224,2.79
2026-09-06,CyberLeek Genesis,cyberleek-genesis,0.000189999,0.47
2026-09-06,Black Label Birds,black-label-birds,0.0008529,2.12
2026-09-06,ROBO BROKERS,robo-brokers,0.000930099999,2.32
2026-09-06,Sherwood Outlaws,sherwood-outlaws,0.0002899,0.72
2026-09-06,WIF Outlaws,wif-outlaws,0.1988231,495.06
2026-09-06,Internet Monkes,internetmonkes,0.02602,64.79
2026-09-06,Hopium Machines,hopium-machines,0.000899999999,2.24
2026-09-06,Chain Mancers,chain-mancers,0.7267,1819.76
2026-09-06,OnChainHoodies,rh-onchainhoodies,0.02,50.08
2026-09-06,pyopyopyopyo,pyopyopyopyo-nft,0.03,75.12
2026-09-06,H00dle,h00dle,0.0035894,8.99
2026-09-06,Gremlin Cartel,gremlin-cartel,0.006249,15.65
2026-09-06,Robinhood Kitties,robinhood-kitties,0.014,35.06
2026-09-06,PitBoys,pitboys,0.0143943999,36.05
2026-09-06,Bulls Runners Genesis,bulls-runners-genesis,0.0166292457,41.64
2026-09-06,Yardkeepers,yardkeepers,0.435,1089.3
2026-09-06,RH MACHINES,rhmachines,0.0409299,102.49
2026-09-06,Robinhood Punks,robinhood-punks,0.0061775,15.47
2026-09-06,Rekt Tradooor,rekt-tradooor,0.0459995,115.19
2026-09-06,ukiyo,ukiyo-rh,0.0032165,8.05
2026-09-06,The Suits,the-suits-nft,0.0041657,10.43
2026-09-06,Toadzers,toadzers,0.0007822,1.96
2026-09-06,urufu gemu,urufugemu,0.008137755598999997,20.38
2026-09-06,DIVERGENTS,divergents,0.0011219,2.81
2026-09-06,CyberLeek Genesis,cyberleek-genesis,0.000189999,0.48
2026-09-06,Black Label Birds,black-label-birds,0.0008529,2.14
2026-09-06,ROBO BROKERS,robo-brokers,0.0007327,1.83
2026-09-06,Sherwood Outlaws,sherwood-outlaws,0.0002899,0.73
2026-09-06,WIF Outlaws,wif-outlaws,0.1988231,497.88
2026-09-06,Internet Monkes,internetmonkes,0.02602,65.16
2026-09-06,Hopium Machines,hopium-machines,0.001460661482,3.66
2026-09-06,Chain Mancers,chain-mancers,0.8093,2024.42
2026-09-06,OnChainHoodies,rh-onchainhoodies,0.02,50.03
2026-09-06,pyopyopyopyo,pyopyopyopyo-nft,0.03,75.04
2026-09-06,H00dle,h00dle,0.003596399998,9
2026-09-06,Gremlin Cartel,gremlin-cartel,0.006249,15.63
2026-09-06,Robinhood Kitties,robinhood-kitties,0.014,35.02
2026-09-06,PitBoys,pitboys,0.0143711,35.95
2026-09-06,Bulls Runners Genesis,bulls-runners-genesis,0.0166292377,41.6
2026-09-06,Yardkeepers,yardkeepers,0.435,1088.13
2026-09-06,RH MACHINES,rhmachines,0.0407316,101.89
2026-09-06,Robinhood Punks,robinhood-punks,0.0057365,14.35
2026-09-06,Rekt Tradooor,rekt-tradooor,0.0459991,115.06
2026-09-06,ukiyo,ukiyo-rh,0.0032024,8.01
2026-09-06,The Suits,the-suits-nft,0.0040573,10.15
2026-09-06,Toadzers,toadzers,0.000999999999,2.5
2026-09-06,urufu gemu,urufugemu,0.008137735198999997,20.36
2026-09-06,DIVERGENTS,divergents,0.0011215,2.81
2026-09-06,CyberLeek Genesis,cyberleek-genesis,0.000189999,0.48
2026-09-06,Black Label Birds,black-label-birds,0.0008529,2.13
2026-09-06,ROBO BROKERS,robo-brokers,0.000739,1.85
2026-09-06,Sherwood Outlaws,sherwood-outlaws,0.0002899,0.73
2026-09-06,WIF Outlaws,wif-outlaws,0.1979998,495.28
2026-09-06,Internet Monkes,internetmonkes,0.02602,65.09
2026-09-06,Hopium Machines,hopium-machines,0.001416699899,3.54
2026-09-06,Chain Mancers,chain-mancers,0.7957,1996.1
2026-09-06,OnChainHoodies,rh-onchainhoodies,0.02,50.17
2026-09-06,pyopyopyopyo,pyopyopyopyo-nft,0.03,75.26
2026-09-06,H00dle,h00dle,0.0035964,9.02
2026-09-06,Gremlin Cartel,gremlin-cartel,0.006249,15.68
2026-09-06,Robinhood Kitties,robinhood-kitties,0.014,35.12
2026-09-06,PitBoys,pitboys,0.0142174,35.67
2026-09-06,Bulls Runners Genesis,bulls-runners-genesis,0.016629225098999997,41.72
2026-09-06,Yardkeepers,yardkeepers,0.434,1088.74
2026-09-06,RH MACHINES,rhmachines,0.03979999,99.84
2026-09-06,Robinhood Punks,robinhood-punks,0.0056789,14.25
2026-09-06,Rekt Tradooor,rekt-tradooor,0.0459987,115.39
2026-09-06,ukiyo,ukiyo-rh,0.0029996,7.52
2026-09-06,The Suits,the-suits-nft,0.0038,9.53
2026-09-06,Toadzers,toadzers,0.0009999,2.51
2026-09-06,urufu gemu,urufugemu,0.0076124,19.1
2026-09-06,DIVERGENTS,divergents,0.001349399999,3.39
2026-09-06,CyberLeek Genesis,cyberleek-genesis,0.000189999,0.48
2026-09-06,Black Label Birds,black-label-birds,0.0008529,2.14
2026-09-06,ROBO BROKERS,robo-brokers,0.000732499999,1.84
2026-09-06,Sherwood Outlaws,sherwood-outlaws,0.0002899,0.73
2026-09-06,WIF Outlaws,wif-outlaws,0.1988231,498.77
2026-09-06,Internet Monkes,internetmonkes,0.0274999,68.99
2026-09-06,Hopium Machines,hopium-machines,0.001300986420999981,3.26
2026-09-06,Chain Mancers,chain-mancers,0.65,1627.47
2026-09-06,OnChainHoodies,rh-onchainhoodies,0.02,50.08
2026-09-06,pyopyopyopyo,pyopyopyopyo-nft,0.03,75.11
2026-09-06,H00dle,h00dle,0.00359636,9
2026-09-06,Gremlin Cartel,gremlin-cartel,0.006249,15.65
2026-09-06,Robinhood Kitties,robinhood-kitties,0.014,35.05
2026-09-06,PitBoys,pitboys,0.0139724999,34.98
2026-09-06,Bulls Runners Genesis,bulls-runners-genesis,0.0166292227,41.64
2026-09-06,Yardkeepers,yardkeepers,0.434,1086.65
2026-09-06,RH MACHINES,rhmachines,0.0398,99.65
2026-09-06,Robinhood Punks,robinhood-punks,0.0056549,14.16
2026-09-06,Rekt Tradooor,rekt-tradooor,0.0459982,115.17
2026-09-06,ukiyo,ukiyo-rh,0.0029046999,7.27
2026-09-06,The Suits,the-suits-nft,0.0038,9.51
2026-09-06,Toadzers,toadzers,0.0009999,2.5
2026-09-06,urufu gemu,urufugemu,0.0070349,17.61
2026-09-06,DIVERGENTS,divergents,0.0012815,3.21
2026-09-06,CyberLeek Genesis,cyberleek-genesis,0.000189999,0.48
2026-09-06,Black Label Birds,black-label-birds,0.0008529,2.14
2026-09-06,ROBO BROKERS,robo-brokers,0.00045,1.13
2026-09-06,Sherwood Outlaws,sherwood-outlaws,0.0002899,0.73
2026-09-06,WIF Outlaws,wif-outlaws,0.1988231,497.81
2026-09-06,Internet Monkes,internetmonkes,0.0285,71.36
2026-09-06,Hopium Machines,hopium-machines,0.001227160123,3.07
2026-09-06,Chain Mancers,chain-mancers,0.64999,1634.63
2026-09-06,OnChainHoodies,rh-onchainhoodies,0.02,50.3
2026-09-06,pyopyopyopyo,pyopyopyopyo-nft,0.03,75.45
2026-09-06,H00dle,h00dle,0.003596159999,9.04
2026-09-06,Gremlin Cartel,gremlin-cartel,0.006249,15.72
2026-09-06,Robinhood Kitties,robinhood-kitties,0.014,35.21
2026-09-06,PitBoys,pitboys,0.0129999954,32.69
2026-09-06,Bulls Runners Genesis,bulls-runners-genesis,0.0166292129,41.82
2026-09-06,Yardkeepers,yardkeepers,0.434,1091.45
2026-09-06,RH MACHINES,rhmachines,0.04008999,100.82
2026-09-06,Robinhood Punks,robinhood-punks,0.0058677,14.76
2026-09-06,Rekt Tradooor,rekt-tradooor,0.0459999,115.68
2026-09-06,ukiyo,ukiyo-rh,0.0028307999,7.12
2026-09-06,The Suits,the-suits-nft,0.0038,9.56
2026-09-06,Toadzers,toadzers,0.000999699999999999,2.51
2026-09-06,urufu gemu,urufugemu,0.0066267,16.67
2026-09-06,DIVERGENTS,divergents,0.0012612,3.17
2026-09-06,CyberLeek Genesis,cyberleek-genesis,0.000189999,0.48
2026-09-06,Black Label Birds,black-label-birds,0.0008529,2.14
2026-09-06,ROBO BROKERS,robo-brokers,0.0008481,2.13
2026-09-06,Sherwood Outlaws,sherwood-outlaws,0.0002899,0.73
2026-09-06,WIF Outlaws,wif-outlaws,0.1988231,500.01
2026-09-06,Internet Monkes,internetmonkes,0.02878,72.38
2026-09-06,Hopium Machines,hopium-machines,0.001227137398,3.09
2026-09-06,Chain Mancers,chain-mancers,0.61,1528.26
2026-09-06,OnChainHoodies,rh-onchainhoodies,0.02,50.11
2026-09-06,pyopyopyopyo,pyopyopyopyo-nft,0.03,75.16
2026-09-06,H00dle,h00dle,0.0035938,9
2026-09-06,Gremlin Cartel,gremlin-cartel,0.006249,15.66
2026-09-06,Robinhood Kitties,robinhood-kitties,0.014,35.07
2026-09-06,PitBoys,pitboys,0.0129999499,32.57
2026-09-06,Bulls Runners Genesis,bulls-runners-genesis,0.019962,50.01
2026-09-06,Yardkeepers,yardkeepers,0.434,1087.32
2026-09-06,RH MACHINES,rhmachines,0.044,110.24
2026-09-06,Robinhood Punks,robinhood-punks,0.0057381,14.38
2026-09-06,Rekt Tradooor,rekt-tradooor,0.0459999,115.25
2026-09-06,ukiyo,ukiyo-rh,0.0027535999,6.9
2026-09-06,The Suits,the-suits-nft,0.0038,9.52
2026-09-06,Toadzers,toadzers,0.000999699999999999,2.5
2026-09-06,urufu gemu,urufugemu,0.0063098,15.81
2026-09-06,DIVERGENTS,divergents,0.001362099999,3.41
2026-09-06,CyberLeek Genesis,cyberleek-genesis,0.000189999,0.48
2026-09-06,Black Label Birds,black-label-birds,0.0008529,2.14
2026-09-06,ROBO BROKERS,robo-brokers,0.0007387,1.85
2026-09-06,Sherwood Outlaws,sherwood-outlaws,0.0002899,0.73
2026-09-06,WIF Outlaws,wif-outlaws,0.198823,498.12
2026-09-06,Internet Monkes,internetmonkes,0.029,72.66
2026-09-06,Hopium Machines,hopium-machines,0.0012,3.01
